project_id,project_name,project_domain,difficulty,estimated_duration,description,required_skills,github_available,dataset_required,portfolio_value,related_role
PROJ0344,Cloud Project 344,Cloud,Intermediate,1 Month,Industry-inspired Cloud project to build practical skills.,"SK065, SK070, SK080",Yes,No,Very High,ROLE044
PROJ0345,Cyber Security Project 345,Cyber Security,Advanced,2 Months,Industry-inspired Cyber Security project to build practical skills.,"SK066, SK071, SK081",Yes,No,Medium,ROLE045
PROJ0346,Mobile Project 346,Mobile,Beginner,2 Weeks,Industry-inspired Mobile project to build practical skills.,"SK067, SK072, SK082",Yes,No,High,ROLE046
PROJ0347,DevOps Project 347,DevOps,Intermediate,1 Month,Industry-inspired DevOps project to build practical skills.,"SK068, SK073, SK083",Yes,No,Very High,ROLE047
PROJ0348,IoT Project 348,IoT,Advanced,2 Months,Industry-inspired IoT project to build practical skills.,"SK069, SK074, SK084",Yes,No,Medium,ROLE048
PROJ0349,Blockchain Project 349,Blockchain,Beginner,2 Weeks,Industry-inspired Blockchain project to build practical skills.,"SK070, SK075, SK085",Yes,No,High,ROLE049
PROJ0350,UI/UX Project 350,UI/UX,Intermediate,1 Month,Industry-inspired UI/UX project to build practical skills.,"SK071, SK076, SK086",Yes,No,Very High,ROLE050
PROJ0351,AI Project 351,AI,Advanced,2 Months,Industry-inspired AI project to build practical skills.,"SK072, SK077, SK087",Yes,Yes,Medium,ROLE051
PROJ0352,Data Science Project 352,Data Science,Beginner,2 Weeks,Industry-inspired Data Science project to build practical skills.,"SK073, SK078, SK088",Yes,Yes,High,ROLE052
PROJ0353,Web Development Project 353,Web Development,Intermediate,1 Month,Industry-inspired Web Development project to build practical skills.,"SK074, SK079, SK089",Yes,No,Very High,ROLE053
PROJ0354,Cloud Project 354,Cloud,Advanced,2 Months,Industry-inspired Cloud project to build practical skills.,"SK075, SK080, SK090",Yes,No,Medium,ROLE054
PROJ0355,Cyber Security Project 355,Cyber Security,Beginner,2 Weeks,Industry-inspired Cyber Security project to build practical skills.,"SK076, SK081, SK091",Yes,No,High,ROLE055
PROJ0356,Mobile Project 356,Mobile,Intermediate,1 Month,Industry-inspired Mobile project to build practical skills.,"SK077, SK082, SK092",Yes,No,Very High,ROLE056
PROJ0357,DevOps Project 357,DevOps,Advanced,2 Months,Industry-inspired DevOps project to build practical skills.,"SK078, SK083, SK093",Yes,No,Medium,ROLE057
PROJ0358,IoT Project 358,IoT,Beginner,2 Weeks,Industry-inspired IoT project to build practical skills.,"SK079, SK084, SK094",Yes,No,High,ROLE058
PROJ0359,Blockchain Project 359,Blockchain,Intermediate,1 Month,Industry-inspired Blockchain project to build practical skills.,"SK080, SK085, SK095",Yes,No,Very High,ROLE059
PROJ0360,UI/UX Project 360,UI/UX,Advanced,2 Months,Industry-inspired UI/UX project to build practical skills.,"SK081, SK086, SK096",Yes,No,Medium,ROLE060
PROJ0361,AI Project 361,AI,Beginner,2 Weeks,Industry-inspired AI project to build practical skills.,"SK082, SK087, SK097",Yes,Yes,High,ROLE001
PROJ0362,Data Science Project 362,Data Science,Intermediate,1 Month,Industry-inspired Data Science project to build practical skills.,"SK083, SK088, SK098",Yes,Yes,Very High,ROLE002
PROJ0363,Web Development Project 363,Web Development,Advanced,2 Months,Industry-inspired Web Development project to build practical skills.,"SK084, SK089, SK099",Yes,No,Medium,ROLE003
PROJ0364,Cloud Project 364,Cloud,Beginner,2 Weeks,Industry-inspired Cloud project to build practical skills.,"SK085, SK090, SK100",Yes,No,High,ROLE004
PROJ0365,Cyber Security Project 365,Cyber Security,Intermediate,1 Month,Industry-inspired Cyber Security project to build practical skills.,"SK086, SK091, SK101",Yes,No,Very High,ROLE005
PROJ0366,Mobile Project 366,Mobile,Advanced,2 Months,Industry-inspired Mobile project to build practical skills.,"SK087, SK092, SK102",Yes,No,Medium,ROLE006
PROJ0367,DevOps Project 367,DevOps,Beginner,2 Weeks,Industry-inspired DevOps project to build practical skills.,"SK088, SK093, SK103",Yes,No,High,ROLE007
PROJ0368,IoT Project 368,IoT,Intermediate,1 Month,Industry-inspired IoT project to build practical skills.,"SK089, SK094, SK104",Yes,No,Very High,ROLE008
PROJ0369,Blockchain Project 369,Blockchain,Advanced,2 Months,Industry-inspired Blockchain project to build practical skills.,"SK090, SK095, SK105",Yes,No,Medium,ROLE009
PROJ0370,UI/UX Project 370,UI/UX,Beginner,2 Weeks,Industry-inspired UI/UX project to build practical skills.,"SK091, SK096, SK106",Yes,No,High,ROLE010
PROJ0371,AI Project 371,AI,Intermediate,1 Month,Industry-inspired AI project to build practical skills.,"SK092, SK097, SK107",Yes,Yes,Very High,ROLE011
PROJ0372,Data Science Project 372,Data Science,Advanced,2 Months,Industry-inspired Data Science project to build practical skills.,"SK093, SK098, SK108",Yes,Yes,Medium,ROLE012
PROJ0373,Web Development Project 373,Web Development,Beginner,2 Weeks,Industry-inspired Web Development project to build practical skills.,"SK094, SK099, SK109",Yes,No,High,ROLE013
PROJ0374,Cloud Project 374,Cloud,Intermediate,1 Month,Industry-inspired Cloud project to build practical skills.,"SK095, SK100, SK110",Yes,No,Very High,ROLE014
PROJ0375,Cyber Security Project 375,Cyber Security,Advanced,2 Months,Industry-inspired Cyber Security project to build practical skills.,"SK096, SK101, SK111",Yes,No,Medium,ROLE015
PROJ0376,Mobile Project 376,Mobile,Beginner,2 Weeks,Industry-inspired Mobile project to build practical skills.,"SK097, SK102, SK112",Yes,No,High,ROLE016
PROJ0377,DevOps Project 377,DevOps,Intermediate,1 Month,Industry-inspired DevOps project to build practical skills.,"SK098, SK103, SK113",Yes,No,Very High,ROLE017
PROJ0378,IoT Project 378,IoT,Advanced,2 Months,Industry-inspired IoT project to build practical skills.,"SK099, SK104, SK114",Yes,No,Medium,ROLE018
PROJ0379,Blockchain Project 379,Blockchain,Beginner,2 Weeks,Industry-inspired Blockchain project to build practical skills.,"SK100, SK105, SK115",Yes,No,High,ROLE019
PROJ0380,UI/UX Project 380,UI/UX,Intermediate,1 Month,Industry-inspired UI/UX project to build practical skills.,"SK101, SK106, SK116",Yes,No,Very High,ROLE020
PROJ0381,AI Project 381,AI,Advanced,2 Months,Industry-inspired AI project to build practical skills.,"SK102, SK107, SK117",Yes,Yes,Medium,ROLE021
PROJ0382,Data Science Project 382,Data Science,Beginner,2 Weeks,Industry-inspired Data Science project to build practical skills.,"SK103, SK108, SK118",Yes,Yes,High,ROLE022
PROJ0383,Web Development Project 383,Web Development,Intermediate,1 Month,Industry-inspired Web Development project to build practical skills.,"SK104, SK109, SK119",Yes,No,Very High,ROLE023
PROJ0384,Cloud Project 384,Cloud,Advanced,2 Months,Industry-inspired Cloud project to build practical skills.,"SK105, SK110, SK120",Yes,No,Medium,ROLE024
PROJ0385,Cyber Security Project 385,Cyber Security,Beginner,2 Weeks,Industry-inspired Cyber Security project to build practical skills.,"SK106, SK111, SK121",Yes,No,High,ROLE025
PROJ0386,Mobile Project 386,Mobile,Intermediate,1 Month,Industry-inspired Mobile project to build practical skills.,"SK107, SK112, SK122",Yes,No,Very High,ROLE026
PROJ0387,DevOps Project 387,DevOps,Advanced,2 Months,Industry-inspired DevOps project to build practical skills.,"SK108, SK113, SK123",Yes,No,Medium,ROLE027
PROJ0388,IoT Project 388,IoT,Beginner,2 Weeks,Industry-inspired IoT project to build practical skills.,"SK109, SK114, SK124",Yes,No,High,ROLE028
PROJ0389,Blockchain Project 389,Blockchain,Intermediate,1 Month,Industry-inspired Blockchain project to build practical skills.,"SK110, SK115, SK125",Yes,No,Very High,ROLE029
PROJ0390,UI/UX Project 390,UI/UX,Advanced,2 Months,Industry-inspired UI/UX project to build practical skills.,"SK111, SK116, SK126",Yes,No,Medium,ROLE030
PROJ0391,AI Project 391,AI,Beginner,2 Weeks,Industry-inspired AI project to build practical skills.,"SK112, SK117, SK127",Yes,Yes,High,ROLE031
PROJ0392,Data Science Project 392,Data Science,Intermediate,1 Month,Industry-inspired Data Science project to build practical skills.,"SK113, SK118, SK128",Yes,Yes,Very High,ROLE032
PROJ0393,Web Development Project 393,Web Development,Advanced,2 Months,Industry-inspired Web Development project to build practical skills.,"SK114, SK119, SK129",Yes,No,Medium,ROLE033
PROJ0394,Cloud Project 394,Cloud,Beginner,2 Weeks,Industry-inspired Cloud project to build practical skills.,"SK115, SK120, SK130",Yes,No,High,ROLE034
PROJ0395,Cyber Security Project 395,Cyber Security,Intermediate,1 Month,Industry-inspired Cyber Security project to build practical skills.,"SK116, SK121, SK131",Yes,No,Very High,ROLE035
PROJ0396,Mobile Project 396,Mobile,Advanced,2 Months,Industry-inspired Mobile project to build practical skills.,"SK117, SK122, SK132",Yes,No,Medium,ROLE036
PROJ0397,DevOps Project 397,DevOps,Beginner,2 Weeks,Industry-inspired DevOps project to build practical skills.,"SK118, SK123, SK133",Yes,No,High,ROLE037
PROJ0398,IoT Project 398,IoT,Intermediate,1 Month,Industry-inspired IoT project to build practical skills.,"SK119, SK124, SK134",Yes,No,Very High,ROLE038
PROJ0399,Blockchain Project 399,Blockchain,Advanced,2 Months,Industry-inspired Blockchain project to build practical skills.,"SK120, SK125, SK135",Yes,No,Medium,ROLE039
PROJ0400,UI/UX Project 400,UI/UX,Beginner,2 Weeks,Industry-inspired UI/UX project to build practical skills.,"SK121, SK126, SK136",Yes,No,High,ROLE040
